"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHL","Chile","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,13.8,,
"CAN","Canada","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2011","Q4-2011","PC","Percentage","0","Units",,,77.1,,
"CAN","Canada","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,63.9,,
"AUS","Australia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,52.2,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2012","Q1-2012","PC","Percentage","0","Units",,,24.3,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,3.3,,
"NZL","New Zealand","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,68.9,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,17.4,,
"GRC","Greece","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,51,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2011","Q4-2011","PC","Percentage","0","Units",,,7.8,,
"TUR","Turkey","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,44.7,,
"USA","United States","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,4.9,,
"FIN","Finland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,7.1,,
"KOR","Korea","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,3.4,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,4.9,,
"JPN","Japan","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,3.7,,
"AUT","Austria","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,3.7,,
"AUS","Australia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2013","Q1-2013","PC","Percentage","0","Units",,,77.9,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2009","Q1-2009","PC","Percentage","0","Units",,,33.4,,
"TUR","Turkey","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,8.1,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,3.7,,
"CZE","Czech Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,20.7,,
"CZE","Czech Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,7.7,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,42.5,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2012","Q3-2012","PC","Percentage","0","Units",,,5.3,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,79.3,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,1.5,,
"JPN","Japan","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,4,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,71.4,,
"ITA","Italy","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2009","Q1-2009","PC","Percentage","0","Units",,,26.5,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,10,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,2.5,,
"NZL","New Zealand","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,1.1,,
"LUX","Luxembourg","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,25.4,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,73.3,,
"TUR","Turkey","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,18,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,6.1,,
"HUN","Hungary","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,32.1,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,7.1,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2011","Q4-2011","PC","Percentage","0","Units",,,3.7,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,26,,
"CHL","Chile","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,10,,
"AUT","Austria","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,10.1,,
"EST","Estonia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,60.6,,
"NZL","New Zealand","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,78.5,,
"FRA","France","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,25.6,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,4.6,,
"ESP","Spain","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,87.1,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,12.2,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,20.2,,
"EST","Estonia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,21,,
"ISR","Israel","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,7.4,,
"BEL","Belgium","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,86.8,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,5,,
"IRL","Ireland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,6.8,,
"CAN","Canada","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,12.1,,
"CHL","Chile","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,35.2,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2014","Q2-2014","PC","Percentage","0","Units",,,22.1,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,4.4,,
"EST","Estonia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,66.7,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,7.6,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2007","Q1-2007","PC","Percentage","0","Units",,,8.4,,
"KOR","Korea","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q3-2010","Q3-2010","PC","Percentage","0","Units",,,47.1,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,6.6,,
"POL","Poland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,14.4,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,3.8,,
"BEL","Belgium","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,25.6,,
"MEX","Mexico","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,50.9,,
"OAVG","OECD - Average","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,8.7,,
"FIN","Finland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,7.5,,
"IRL","Ireland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,10.4,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,2.8,,
"AUT","Austria","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2012","Q1-2012","PC","Percentage","0","Units",,,57.9,,
"CHL","Chile","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,86.2,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,87.1,,
"AUS","Australia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,78.5,,
"CAN","Canada","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,7.4,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,65.2,,
"GRC","Greece","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,21.1,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,26.7,,
"CZE","Czech Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2014","Q2-2014","PC","Percentage","0","Units",,,7.3,,
"NLD","Netherlands","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,4.4,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2012","Q3-2012","PC","Percentage","0","Units",,,13.3,,
"ZAF","South Africa","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2009","Q1-2009","PC","Percentage","0","Units",,,53,,
"OAVG","OECD - Average","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,64.9,,
"DEU","Germany","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2014","Q2-2014","PC","Percentage","0","Units",,,44.4,,
"ISR","Israel","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,14.1,,
"CZE","Czech Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2007","Q1-2007","PC","Percentage","0","Units",,,4.5,,
"TUR","Turkey","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,24.9,,
"EST","Estonia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,78.9,,
"SWE","Sweden","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,5,,
"CAN","Canada","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,54,,
"FRA","France","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,23.3,,
"CZE","Czech Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,74.9,,
"NZL","New Zealand","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,80.6,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,74.6,,
"ESP","Spain","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,13.7,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,1.4,,
"FIN","Finland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,16.2,,
"TUR","Turkey","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2014","Q2-2014","PC","Percentage","0","Units",,,34.4,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2012","Q1-2012","PC","Percentage","0","Units",,,83.3,,
"AUS","Australia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,60.7,,
"ISR","Israel","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,5.7,,
"CHL","Chile","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2013","Q2-2013","PC","Percentage","0","Units",,,3.2,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,88.9,,
"USA","United States","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,7.1,,
"FIN","Finland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,5.3,,
"SVN","Slovenia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2008","Q1-2008","PC","Percentage","0","Units",,,63.3,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,8.2,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,6.4,,
"SVN","Slovenia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,46.2,,
"SVN","Slovenia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,36.1,,
"BEL","Belgium","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,68.6,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2010","Q4-2010","PC","Percentage","0","Units",,,78.4,,
"CZE","Czech Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,34.1,,
"HUN","Hungary","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,17.2,,
"ITA","Italy","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2010","Q2-2010","PC","Percentage","0","Units",,,29.5,,
"SWE","Sweden","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,73.8,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2009","Q2-2009","PC","Percentage","0","Units",,,77.8,,
"AUS","Australia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q4-2007","Q4-2007","PC","Percentage","0","Units",,,2.2,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q4-2009","Q4-2009","PC","Percentage","0","Units",,,68,,
"DEU","Germany","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2007","Q1-2007","PC","Percentage","0","Units",,,58.5,,
"EST","Estonia","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1524","15-24","Q2-2012","Q2-2012","PC","Percentage","0","Units",,,30.5,,
"SVN","Slovenia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q3-2009","Q3-2009","PC","Percentage","0","Units",,,14.5,,
"USA","United States","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,68.9,,
"CHE","Switzerland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2013","Q3-2013","PC","Percentage","0","Units",,,3,,
"ISL","Iceland","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,90.3,,
"EST","Estonia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q3-2014","Q3-2014","PC","Percentage","0","Units",,,7.1,,
"PRT","Portugal","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2013","Q1-2013","PC","Percentage","0","Units",,,57.2,,
"SVN","Slovenia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,88.6,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2013","Q1-2013","PC","Percentage","0","Units",,,6.2,,
"AUT","Austria","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2012","Q1-2012","PC","Percentage","0","Units",,,76.2,,
"OAVG","OECD - Average","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q4-2012","Q4-2012","PC","Percentage","0","Units",,,85,,
"FRA","France","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,43.7,,
"CAN","Canada","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,6.1,,
"OAVG","OECD - Average","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,7,,
"GRC","Greece","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q4-2011","Q4-2011","PC","Percentage","0","Units",,,49.8,,
"EST","Estonia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,60.2,,
"AUT","Austria","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q1-2007","Q1-2007","PC","Percentage","0","Units",,,56.7,,
"NOR","Norway","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,3,,
"AUS","Australia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,65.3,,
"EST","Estonia","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2011","Q3-2011","PC","Percentage","0","Units",,,9.2,,
"OAVG","OECD - Average","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q3-2008","Q3-2008","PC","Percentage","0","Units",,,87.4,,
"DNK","Denmark","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q4-2008","Q4-2008","PC","Percentage","0","Units",,,2.9,,
"ITA","Italy","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","5564","55-64","Q1-2011","Q1-2011","PC","Percentage","0","Units",,,2.7,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2008","Q2-2008","PC","Percentage","0","Units",,,10.8,,
"NLD","Netherlands","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q3-2012","Q3-2012","PC","Percentage","0","Units",,,69.5,,
"NLD","Netherlands","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1524","15-24","Q4-2013","Q4-2013","PC","Percentage","0","Units",,,13.7,,
"TUR","Turkey","EMP4_U","Unemployment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2010","Q1-2010","PC","Percentage","0","Units",,,12.3,,
"BEL","Belgium","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,6.3,,
"SVK","Slovak Republic","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q2-2011","Q2-2011","PC","Percentage","0","Units",,,13.8,,
"FIN","Finland","EMP4_U","Unemployment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,6.6,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q1-2012","Q1-2012","PC","Percentage","0","Units",,,74.5,,
"POL","Poland","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","2554","25-54","Q2-2007","Q2-2007","PC","Percentage","0","Units",,,68.6,,
"HUN","Hungary","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q3-2007","Q3-2007","PC","Percentage","0","Units",,,40.3,,
"SVK","Slovak Republic","EMP4_E","Employment rate, by sex and age group, quarterly data","WOMEN","Women","1564","15-64","Q1-2013","Q1-2013","PC","Percentage","0","Units",,,53,,
"AUS","Australia","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q2-2014","Q2-2014","PC","Percentage","0","Units",,,85.9,,
"GBR","United Kingdom","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","5564","55-64","Q1-2007","Q1-2007","PC","Percentage","0","Units",,,65.3,,
"ZAF","South Africa","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","1564","15-64","Q3-2012","Q3-2012","PC","Percentage","0","Units",,,49.2,,
"AUT","Austria","EMP4_E","Employment rate, by sex and age group, quarterly data","MEN","Men","2554","25-54","Q1-2014","Q1-2014","PC","Percentage","0","Units",,,86.6,,
