"REG","Region","LOCATION","Country","INC","Income group","VAR","Variables","TIME","Time","Value","Flag Codes","Flags"
"ALL","All regions","ZAF","South Africa","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.2,,
"ALL","All regions","THA","Thailand","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.27,,
"ALL","All regions","TUN","Tunisia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.25,,
"ALL","All regions","VEN","Venezuela","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.15,,
"ALL","All regions","SRB","Serbia","UMI","Upper middle income","SB_3","Son preference in education","2014","2014",0.19,,
"EAP","East Asia and the Pacific","AUS","Australia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.04,,
"NA","North America","CAN","Canada","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.05,,
"ECA","Europe and Central Asia","FIN","Finland","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.06,,
"ECA","Europe and Central Asia","FRA","France","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.07,,
"ECA","Europe and Central Asia","DEU","Germany","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.16,,
"ECA","Europe and Central Asia","HUN","Hungary","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.19,,
"ECA","Europe and Central Asia","ITA","Italy","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.08,,
"EAP","East Asia and the Pacific","JPN","Japan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.16,,
"EAP","East Asia and the Pacific","KOR","Korea","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.26,,
"LAC","Latin America and the Caribbean","MEX","Mexico","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.21,,
"ECA","Europe and Central Asia","NLD","Netherlands","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.05,,
"EAP","East Asia and the Pacific","NZL","New Zealand","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.05,,
"ECA","Europe and Central Asia","NOR","Norway","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.04,,
"ECA","Europe and Central Asia","POL","Poland","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.12,,
"ECA","Europe and Central Asia","ESP","Spain","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.12,,
"ECA","Europe and Central Asia","SWE","Sweden","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.03,,
"ECA","Europe and Central Asia","CHE","Switzerland","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.09,,
"ECA","Europe and Central Asia","TUR","Turkey","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.32,,
"ECA","Europe and Central Asia","GBR","United Kingdom","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.07,,
"NA","North America","USA","United States","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.07,,
"ECA","Europe and Central Asia","ALB","Albania","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.15,,
"MENA","Middle East and North Africa","DZA","Algeria","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.37,,
"LAC","Latin America and the Caribbean","ARG","Argentina","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.14,,
"ECA","Europe and Central Asia","ARM","Armenia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.25,,
"ECA","Europe and Central Asia","AZE","Azerbaijan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.31,,
"SA","South Asia","BGD","Bangladesh","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.62,,
"ECA","Europe and Central Asia","BLR","Belarus","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.21,,
"ECA","Europe and Central Asia","BIH","Bosnia and Herzegovina","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.17,,
"LAC","Latin America and the Caribbean","BRA","Brazil","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.12,,
"ECA","Europe and Central Asia","BGR","Bulgaria","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.11,,
"SSA","Sub-Saharan Africa","BFA","Burkina Faso","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.33,,
"LAC","Latin America and the Caribbean","CHL","Chile","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.2,,
"EAP","East Asia and the Pacific","CHN","China (People's Republic of)","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.22,,
"LAC","Latin America and the Caribbean","COL","Colombia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.11,,
"ECA","Europe and Central Asia","CYP","Cyprus","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.14,,
"LAC","Latin America and the Caribbean","ECU","Ecuador","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.23,,
"MENA","Middle East and North Africa","EGY","Egypt","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.36,,
"ECA","Europe and Central Asia","EST","Estonia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.16,,
"SSA","Sub-Saharan Africa","ETH","Ethiopia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.08,,
"ECA","Europe and Central Asia","GEO","Georgia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.23,,
"SSA","Sub-Saharan Africa","GHA","Ghana","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.3,,
"LAC","Latin America and the Caribbean","GTM","Guatemala","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.19,,
"EAP","East Asia and the Pacific","HKG","Hong Kong, China","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.22,,
"SA","South Asia","IND","India","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.39,,
"EAP","East Asia and the Pacific","IDN","Indonesia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.19,,
"MENA","Middle East and North Africa","IRN","Iran","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.55,,
"MENA","Middle East and North Africa","IRQ","Iraq","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.31,,
"MENA","Middle East and North Africa","JOR","Jordan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.29,,
"ECA","Europe and Central Asia","KAZ","Kazakhstan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.22,,
"MENA","Middle East and North Africa","KWT","Kuwait","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.36,,
"ECA","Europe and Central Asia","KGZ","Kyrgyzstan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.41,,
"MENA","Middle East and North Africa","LBN","Lebanon","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.31,,
"MENA","Middle East and North Africa","LBY","Libya","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.32,,
"ECA","Europe and Central Asia","MKD","Former Yugoslav Republic of Macedonia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.12,,
"EAP","East Asia and the Pacific","MYS","Malaysia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.43,,
"SSA","Sub-Saharan Africa","MLI","Mali","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.47,,
"ECA","Europe and Central Asia","MDA","Moldova","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.17,,
"MENA","Middle East and North Africa","MAR","Morocco","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.2,,
"SSA","Sub-Saharan Africa","NGA","Nigeria","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.46,,
"MENA","Middle East and North Africa","PSE","Palestinian Authority or West Bank and Gaza Strip","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.27,,
"SA","South Asia","PAK","Pakistan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.51,,
"LAC","Latin America and the Caribbean","PER","Peru","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.14,,
"EAP","East Asia and the Pacific","PHL","Philippines","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.39,,
"MENA","Middle East and North Africa","QAT","Qatar","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.28,,
"ECA","Europe and Central Asia","ROU","Romania","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.21,,
"ECA","Europe and Central Asia","RUS","Russia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.23,,
"SSA","Sub-Saharan Africa","RWA","Rwanda","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.36,,
"MENA","Middle East and North Africa","SAU","Saudi Arabia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.6,,
"EAP","East Asia and the Pacific","SGP","Singapore","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.26,,
"ECA","Europe and Central Asia","SVN","Slovenia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.08,,
"SSA","Sub-Saharan Africa","ZAF","South Africa","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.2,,
"SSA","Sub-Saharan Africa","TZA","Tanzania","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.15,,
"EAP","East Asia and the Pacific","THA","Thailand","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.27,,
"LAC","Latin America and the Caribbean","TTO","Trinidad and Tobago","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.06,,
"MENA","Middle East and North Africa","TUN","Tunisia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.25,,
"SSA","Sub-Saharan Africa","UGA","Uganda","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.23,,
"ECA","Europe and Central Asia","UKR","Ukraine","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.18,,
"LAC","Latin America and the Caribbean","URY","Uruguay","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.09,,
"ECA","Europe and Central Asia","UZB","Uzbekistan","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.49,,
"LAC","Latin America and the Caribbean","VEN","Venezuela","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.15,,
"EAP","East Asia and the Pacific","VNM","Viet Nam","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.2,,
"MENA","Middle East and North Africa","YEM","Yemen","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.45,,
"SSA","Sub-Saharan Africa","ZMB","Zambia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.24,,
"SSA","Sub-Saharan Africa","ZWE","Zimbabwe","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.16,,
"ECA","Europe and Central Asia","SRB","Serbia","AIC","All income categories","SB_3","Son preference in education","2014","2014",0.19,,
